obstacle_density,config_type,config_description,final_exploration_rate,avg_increase_rate,max_increase_rate,exploration_mean,exploration_std,exploration_min,exploration_max,total_steps
0.0,A,VFH-Fuzzy only,0.45335,0.008806122448979591,0.031100000000000017,0.257461,0.16668331371318537,0.02185,0.45335,50
0.0,B,Pre-trained model,0.6309,0.012301020408163265,0.03579999999999994,0.320022,0.16353996333668191,0.02815,0.6309,50
0.0,C,Branching/Integration,0.5941,0.011527551020408162,0.036000000000000004,0.31967999999999996,0.17421771946478407,0.02925,0.5941,50
0.0,D,Branching/Integration + Learning,0.55815,0.010910204081632652,0.04235,0.37331300000000006,0.2036919249423862,0.02355,0.55815,50
0.003,A,VFH-Fuzzy only,0.4111,0.007851020408163266,0.02504999999999999,0.25109499999999996,0.12052996674127585,0.0264,0.4111,50
0.003,B,Pre-trained model,0.12445,0.002039795918367347,0.012449999999999996,0.09194500000000001,0.03398917182016073,0.0245,0.12445,50
0.003,C,Branching/Integration,0.51605,0.010120408163265307,0.02955000000000002,0.23013599999999998,0.16615132917841824,0.02015,0.51605,50
0.003,D,Branching/Integration + Learning,0.3016,0.005726530612244897,0.027700000000000002,0.23311000000000004,0.09454587969524075,0.021,0.3016,50
0.005,A,VFH-Fuzzy only,0.1952,0.0034908163265306123,0.016999999999999998,0.130291,0.05028888960145112,0.02415,0.1952,50
0.005,B,Pre-trained model,0.20065,0.0035612244897959182,0.0257,0.09156500000000001,0.057688550883699834,0.02615,0.20065,50
0.005,C,Branching/Integration,0.24145,0.00446734693877551,0.019250000000000003,0.146317,0.07898091581037091,0.02255,0.24145,50
0.005,D,Branching/Integration + Learning,0.43025,0.00821530612244898,0.029049999999999965,0.25352900000000006,0.1309769652165866,0.0277,0.43025,50
